text,category,is_project
"simul pret auto pour un montant de 5 000 euros maxi pour endettement
abandon solde de prêt effectué",Montant,False
"simul pret auto pour un montant de 5 000 euros maxi pour endettement
abandon solde de prêt effectué",Credit_vehicule,True
 azo le 22 novembre message laisser laisser ,Date,False
" j'ai vu monsieur ce jour premier contact avec Traj patrimoine 
Point global sur la situation
=> proposition du PER car intérêt fiscal et capa du client et client qui peut prendre du risque mais le client n'a pas encore vendu sa maison de Gerzat et a donc besoin d'utiliser dispo pour travaux dans nouvelle maison  à envisager de l'année prochaine   ",Date,False
" j'ai vu monsieur ce jour premier contact avec Traj patrimoine 
Point global sur la situation
=> proposition du PER car intérêt fiscal et capa du client et client qui peut prendre du risque mais le client n'a pas encore vendu sa maison de Gerzat et a donc besoin d'utiliser dispo pour travaux dans nouvelle maison  à envisager de l'année prochaine   ",Bilan_suivi_relationnel,False
" j'ai vu monsieur ce jour premier contact avec Traj patrimoine 
Point global sur la situation
=> proposition du PER car intérêt fiscal et capa du client et client qui peut prendre du risque mais le client n'a pas encore vendu sa maison de Gerzat et a donc besoin d'utiliser dispo pour travaux dans nouvelle maison  à envisager de l'année prochaine   ",_pargne_terme,False
" j'ai vu monsieur ce jour premier contact avec Traj patrimoine 
Point global sur la situation
=> proposition du PER car intérêt fiscal et capa du client et client qui peut prendre du risque mais le client n'a pas encore vendu sa maison de Gerzat et a donc besoin d'utiliser dispo pour travaux dans nouvelle maison  à envisager de l'année prochaine   ",Credit_travaux,True
" j'ai vu monsieur ce jour premier contact avec Traj patrimoine 
Point global sur la situation
=> proposition du PER car intérêt fiscal et capa du client et client qui peut prendre du risque mais le client n'a pas encore vendu sa maison de Gerzat et a donc besoin d'utiliser dispo pour travaux dans nouvelle maison  à envisager de l'année prochaine   ",Date,False
"VU CE JOUR AVEC LA CLIENTE PAR TELEPHONE POUR UN CREDIT CONSO POUR L ACHAT D UN CAMPING CAR
PROJET SUR 10.000 EUROS EMPRUNTES SUR 48 ET 60 MOIS AVEC ET SANS ADOSSEMENT ASSURANCE AVEC APPORT 5000 EUROS.
MAIL RECAPITULATIF ENVOYE A LA CLIENTE.
PROJET QUI DOIT ABOUTIR SUR LA FIN D ANNEE 2020. ",Montant,False
"VU CE JOUR AVEC LA CLIENTE PAR TELEPHONE POUR UN CREDIT CONSO POUR L ACHAT D UN CAMPING CAR
PROJET SUR 10.000 EUROS EMPRUNTES SUR 48 ET 60 MOIS AVEC ET SANS ADOSSEMENT ASSURANCE AVEC APPORT 5000 EUROS.
MAIL RECAPITULATIF ENVOYE A LA CLIENTE.
PROJET QUI DOIT ABOUTIR SUR LA FIN D ANNEE 2020. ",Montant,False
"VU CE JOUR AVEC LA CLIENTE PAR TELEPHONE POUR UN CREDIT CONSO POUR L ACHAT D UN CAMPING CAR
PROJET SUR 10.000 EUROS EMPRUNTES SUR 48 ET 60 MOIS AVEC ET SANS ADOSSEMENT ASSURANCE AVEC APPORT 5000 EUROS.
MAIL RECAPITULATIF ENVOYE A LA CLIENTE.
PROJET QUI DOIT ABOUTIR SUR LA FIN D ANNEE 2020. ",Date,False
"VU CE JOUR AVEC LA CLIENTE PAR TELEPHONE POUR UN CREDIT CONSO POUR L ACHAT D UN CAMPING CAR
PROJET SUR 10.000 EUROS EMPRUNTES SUR 48 ET 60 MOIS AVEC ET SANS ADOSSEMENT ASSURANCE AVEC APPORT 5000 EUROS.
MAIL RECAPITULATIF ENVOYE A LA CLIENTE.
PROJET QUI DOIT ABOUTIR SUR LA FIN D ANNEE 2020. ",Date,False
"VU CE JOUR AVEC LA CLIENTE PAR TELEPHONE POUR UN CREDIT CONSO POUR L ACHAT D UN CAMPING CAR
PROJET SUR 10.000 EUROS EMPRUNTES SUR 48 ET 60 MOIS AVEC ET SANS ADOSSEMENT ASSURANCE AVEC APPORT 5000 EUROS.
MAIL RECAPITULATIF ENVOYE A LA CLIENTE.
PROJET QUI DOIT ABOUTIR SUR LA FIN D ANNEE 2020. ",Credit_vehicule,True
"VU CE JOUR AVEC LA CLIENTE PAR TELEPHONE POUR UN CREDIT CONSO POUR L ACHAT D UN CAMPING CAR
PROJET SUR 10.000 EUROS EMPRUNTES SUR 48 ET 60 MOIS AVEC ET SANS ADOSSEMENT ASSURANCE AVEC APPORT 5000 EUROS.
MAIL RECAPITULATIF ENVOYE A LA CLIENTE.
PROJET QUI DOIT ABOUTIR SUR LA FIN D ANNEE 2020. ",Date,False
"Versement sur PERP 8000€.

e


",Montant,False
"Versement sur PERP 8000€.

e


",_pargne_terme,True
 traitement crédit important client ayant perçu ses indemnités de fin de contrat ne souhaite pas déplacer  uni bénéficier de plus en retraite car il dispose d'un projet professionnel,Entree_en_relation_Conquetes,False
"retraité boucher. Cyril remboursait les 2 cartes chaque année.2 enfants, 1RP",Entree_en_relation_Conquetes,True
